yes,yes,yes,no,no,1,Polanui,LLHS,,,,PFF,PFF160615,2022,505 Front St,2016-06-15,07:37,,,,,,,,,,PFF160615,26.7,27.8,6.27,94.7,8.05,2.89,2.89,2.89
yes,yes,yes,no,no,1,Polanui,LLHS,,,,PLH,PLH160615,2023,Lindsey Hale,2016-06-15,08:28,,,,,,,,,,PLH160615,26.8,28.1,6.57,99.6,7.99,2.8,2.8,2.8
yes,yes,yes,no,no,1,Polanui,LLHS,,,,PLT,PLT160615,2024,Lahaina Town,2016-06-15,08:59,,,,,,,,,,PLT160615,27.2,28.2,6.72,102.4,8.09,2.91,2.91,2.91
yes,yes,yes,no,no,1,Polanui,LLHS,,,,OSF,OSF160615,2027,Olowalu Pier,2016-06-15,10:42,,,,,,,,,,OSF160615,27.4,29.6,6.94,106.1,8.11,1.19,1.19,1.19
yes,yes,yes,no,no,2,Polanui,LLHS,,,,PFF,PFF160629,2022,505 Front St,2016-06-29,07:43,,,,,,,,,,PFF160629,27,30.1,6.34,96.5,7.98,1.65,1.65,1.65
yes,yes,yes,no,no,2,Polanui,LLHS,,,,PLH,PLH160629,2023,Lindsey Hale,2016-06-29,08:24,,,,,,,,,,PLH160629,27.2,29.1,6.29,96,8.04,3.43,3.43,3.43
yes,yes,yes,no,no,2,Polanui,LLHS,,,,PLT,PLT160629,2024,Lahaina Town,2016-06-29,08:50,,,,,,,,,,PLT160629,27.3,28.9,6.21,95,8.02,1.98,1.98,1.98
yes,yes,yes,no,no,2,Polanui,LLHS,,,,OLP,OLP160629,2072,Launiupoko,2016-06-29,10:04,,,,,,,,,,OLP160629,28.5,29.9,6.6,102.1,8.07,4.53,4.53,4.53
yes,yes,yes,no,no,2,Polanui,LLHS,,,,OSF,OSF160629,2027,Olowalu Pier,2016-06-29,10:39,,,,,,,,,,OSF160629,28,29.3,7.17,111.1,8.1,1.07,1.07,1.07
yes,yes,yes,no,no,3,Polanui,LLHS,,,,PFF,PFF160713,2022,505 Front St,2016-07-13,07:35,,,,,,,,,,PFF160713,26.9,36.2,5.9,90.6,8.04,2.64,2.64,2.64
yes,yes,yes,no,no,3,Polanui,LLHS,,,,PLH,PLH160713,2023,Lindsey Hale,2016-07-13,08:07,,,,,,,,,,PLH160713,27,36,5.49,84.5,8.01,2.01,2.01,2.01
yes,yes,yes,no,no,3,Polanui,LLHS,,,,PLT,PLT160713,2024,Lahaina Town,2016-07-13,08:29,,,,,,,,,,PLT160713,27.4,36,5.39,83.3,8,4.96,4.96,4.96
yes,yes,yes,no,no,3,Polanui,LLHS,,,,OLP,OLP160713,2072,Launiupoko,2016-07-13,09:20,,,,,,,,,,OLP160713,28.1,37.8,6.56,103.6,8.1,2.57,2.57,2.57
yes,yes,yes,no,no,3,Polanui,LLHS,,,,OSF,OSF160713,2027,Olowalu Pier,2016-07-13,09:48,,,,,,,,,,OSF160713,28,37.4,6.98,109.8,8.04,1.86,1.86,1.86
yes,yes,yes,no,no,4,Polanui,LLHS,,,,PFF,PFF160727,2022,505 Front St,2016-07-27,07:28,,,,,,,,,,PFF160727,27.4,34.7,5.9,90.2,8.04,#N/A,#N/A,#N/A
yes,yes,yes,no,no,4,Polanui,LLHS,,,,PLH,PLH160727,2023,Lindsey Hale,2016-07-27,08:05,,,,,,,,,,PLH160727,27.4,35,5.9,90.5,8.02,8.05,8.05,8.05
yes,yes,yes,no,no,4,Polanui,LLHS,,,,PLT,PLT160727,2024,Lahaina Town,2016-07-27,08:28,,,,,,,,,,PLT160727,27.6,35.2,5.65,87,8,3.7,3.7,3.7
yes,yes,yes,no,no,4,Polanui,LLHS,,,,OLP,OLP160727,2072,Launiupoko,2016-07-27,09:09,,,,,,,,,,OLP160727,28.1,35.6,6.52,101.4,8.13,0.88,0.88,0.88
yes,yes,yes,no,no,4,Polanui,LLHS,,,,OSF,OSF160727,2027,Olowalu Pier,2016-07-27,09:39,,,,,,,,,,OSF160727,27.8,35.5,6.89,106.6,8.12,0.98,0.98,0.98
yes,yes,yes,no,no,5,Polanui,LLHS,,,,PFF,PFF160810,2022,505 Front St,2016-08-10,07:26,,,,,,,,,,PFF160810,27,34.6,5.87,89,8.06,0.96,0.96,0.96
yes,yes,yes,no,no,5,Polanui,LLHS,,,,PLH,PLH160810,2023,Lindsey Hale,2016-08-10,07:52,,,,,,,,,,PLH160810,27.3,35,5.53,84.5,8.02,5.5,5.5,5.5
yes,yes,yes,no,no,5,Polanui,LLHS,,,,PLT,PLT160810,2024,Lahaina Town,2016-08-10,08:15,,,,,,,,,,PLT160810,27.5,35.1,5.74,88.1,8.04,4.34,4.34,4.34
yes,yes,yes,no,no,5,Polanui,LLHS,,,,OLP,OLP160810,2072,Launiupoko,2016-08-10,08:56,,,,,,,,,,OLP160810,28.2,35.8,6.57,102.2,8.1,4.02,4.02,4.02
yes,yes,yes,no,no,5,Polanui,LLHS,,,,OSF,OSF160810,2027,Olowalu Pier,2016-08-10,09:19,,,,,,,,,,OSF160810,27.9,35.8,6.78,105.1,8.07,1.45,1.45,1.45
yes,yes,yes,no,no,6,Polanui,LLHS,,,,PFF,PFF160824,2022,505 Front St,2016-08-24,07:32,,,,,,,,,,PFF160824,27.9,35,6.12,94.6,8.05,4.43,4.43,4.43
yes,yes,yes,no,no,6,Polanui,LLHS,,,,PLH,PLH160824,2023,Lindsey Hale,2016-08-24,08:20,,,,,,,,,,PLH160824,28.4,35.2,5.44,85,8.01,25.4,25.4,25.4
yes,yes,yes,no,no,6,Polanui,LLHS,,,,PLT,PLT160824,2024,Lahaina Town,2016-08-24,08:42,,,,,,,,,,PLT160824,28.3,35.7,5.84,91.3,8.03,6.57,6.57,6.57
yes,yes,yes,no,no,6,Polanui,LLHS,,,,PPU,PPU160824,2025,Puamana,2016-08-24,09:13,,,,,,,,,,PPU160824,28.4,35.5,6.44,100.7,8.09,#N/A,#N/A,#N/A
yes,yes,yes,no,no,6,Polanui,LLHS,,,,OLP,OLP160824,2072,Launiupoko,2016-08-24,09:38,,,,,,,,,,OLP160824,28.6,36.1,6.39,100.6,8.13,3.77,3.77,3.77
yes,yes,yes,no,no,6,Polanui,LLHS,,,,OSF,OSF160824,2027,Olowalu Pier,2016-08-24,10:00,,,,,,,,,,OSF160824,29,36,6.85,108.5,8.1,1.3,1.3,1.3
yes,yes,yes,no,no,7,Polanui,LLHS,,,,PFF,PFF160907,2022,505 Front St,2016-09-07,07:48,,,,,,,,,,PFF160907,27.1,34.5,6.18,94.1,8,6.47,6.47,6.47
yes,yes,yes,no,no,7,Polanui,LLHS,,,,PLT,PLT160907,2024,Lahaina Town,2016-09-07,08:19,,,,,,,,,,PLT160907,27.5,36.6,6.06,94,8.01,4.33,4.33,4.33
yes,yes,yes,no,no,7,Polanui,LLHS,,,,PLH,PLH160907,2023,Lindsey Hale,2016-09-07,08:46,,,,,,,,,,PLH160907,27.5,36.5,6.07,94.2,7.96,6.77,6.77,6.77
yes,yes,yes,no,no,7,Polanui,LLHS,,,,OLP,OLP160907,2072,Launiupoko,2016-09-07,09:10,,,,,,,,,,OLP160907,27.8,36.7,6.26,97.8,7.97,2.31,2.31,2.31
yes,yes,yes,no,no,7,Polanui,LLHS,,,,OSF,OSF160907,2027,Olowalu Pier,2016-09-07,09:39,,,,,,,,,,OSF160907,28.4,37,6.55,103.3,8.06,1.12,1.12,1.12
yes,yes,yes,no,no,8,Polanui,LLHS,,,,PFF,PFF160921,2022,505 Front St,2016-09-21,07:22,,,,,,,,,,PFF160921,27,33.1,6.31,94.9,8.04,12.37,12.37,12.37
yes,yes,yes,no,no,8,Polanui,LLHS,,,,PLH,PLH160921,2023,Lindsey Hale,2016-09-21,07:52,,,,,,,,,,PLH160921,27.1,34.4,6.08,92.3,8.03,40.1,40.1,40.1
yes,yes,yes,no,no,8,Polanui,LLHS,,,,PLT,PLT160921,2024,Lahaina Town,2016-09-21,08:20,,,,,,,,,,PLT160921,26.9,34.3,6,90.8,7.98,45.33,45.33,45.33
yes,yes,yes,no,no,8,Polanui,LLHS,,,,OLP,OLP160921,2072,Launiupoko,2016-09-21,09:05,,,,,,,,,,OLP160921,27.7,34.9,6.36,97.8,8.11,10.26,10.26,10.26
yes,yes,yes,no,no,8,Polanui,LLHS,,,,OSF,OSF160921,2027,Olowalu Pier,2016-09-21,09:36,,,,,,,,,,OSF160921,27.6,34.8,6.58,101.2,8.17,2.35,2.35,2.35
yes,yes,yes,no,no,9,Polanui,LLHS,,,,PFF,PFF161005,2022,505 Front St,2016-10-05,08:16,,,,,,,,,,PFF161005,27.6,35.5,5.9,91.3,7.79,3.32,3.32,3.32
yes,yes,yes,no,no,9,Polanui,LLHS,,,,PLH,PLH161005,2023,Lindsey Hale,2016-10-05,08:48,,,,,,,,,,PLH161005,27.8,35.4,5.44,84.3,7.89,14.73,14.73,14.73
yes,yes,yes,no,no,9,Polanui,LLHS,,,,PLT,PLT161005,2024,Lahaina Town,2016-10-05,09:10,,,,,,,,,,PLT161005,28.2,36,5.53,86.4,7.87,20.37,20.37,20.37
yes,yes,yes,no,no,9,Polanui,LLHS,,,,PPU,PPU161005,2025,Puamana,2016-10-05,09:35,,,,,,,,,,PPU161005,28.3,36.5,6.42,100.6,8.11,2.61,2.61,2.61
yes,yes,yes,no,no,9,Polanui,LLHS,,,,OLP,OLP161005,2072,Launiupoko,2016-10-05,10:00,,,,,,,,,,OLP161005,28.8,37.3,6.45,102.4,7.97,3.36,3.36,3.36
yes,yes,yes,no,no,9,Polanui,LLHS,,,,OSF,OSF161005,2027,Olowalu Pier,2016-10-05,10:23,,,,,,,,,,OSF161005,28.8,37.2,6.73,106.9,7.99,2.07,2.07,2.07
yes,yes,yes,no,no,10,Polanui,LLHS,,,,PFF,PFF161019,2022,505 Front St,2016-10-19,08:21,,,,,,,,,,PFF161019,27.1,33.5,6.26,94.5,8.09,8.22,8.22,8.22
yes,yes,yes,no,no,10,Polanui,LLHS,,,,PLH,PLH161019,2023,Lindsey Hale,2016-10-19,08:51,,,,,,,,,,PLH161019,27.2,34,6.12,92.9,8.03,40.7,40.7,40.7
yes,yes,yes,no,no,10,Polanui,LLHS,,,,PLT,PLT161019,2024,Lahaina Town,2016-10-19,09:13,,,,,,,,,,PLT161019,27.5,33.9,6,91.5,7.98,43.67,43.67,43.67
yes,yes,yes,no,no,10,Polanui,LLHS,,,,PPU,PPU161019,2025,Puamana,2016-10-19,09:40,,,,,,,,,,PPU161019,27.7,34.6,6.49,99.7,8.15,6.04,6.04,6.04
yes,yes,yes,no,no,10,Polanui,LLHS,,,,OLP,OLP161019,2072,Launiupoko,2016-10-19,10:01,,,,,,,,,,OLP161019,27.7,35,6.28,96.7,8.06,4.35,4.35,4.35
yes,yes,yes,no,no,10,Polanui,LLHS,,,,OSF,OSF161019,2027,Olowalu Pier,2016-10-19,10:37,,,,,,,,,,OSF161019,27.4,34.9,6.65,102,8.12,2.94,2.94,2.94
yes,yes,yes,no,no,11,Polanui,LLHS,,,,PFF,PFF161102,2022,505 Front St,2016-11-02,08:20,,,,,,,,,,PFF161102,25.6,32.8,5.88,86,7.99,5.64,5.64,5.64
yes,yes,yes,no,no,11,Polanui,LLHS,,,,PLH,PLH161102,2023,Lindsey Hale,2016-11-02,08:56,,,,,,,,,,PLH161102,26.2,34,5.52,82.2,8.02,12.7,12.7,12.7
yes,yes,yes,no,no,11,Polanui,LLHS,,,,PLT,PLT161102,2024,Lahaina Town,2016-11-02,09:17,,,,,,,,,,PLT161102,26.8,33.7,5.38,80.9,7.98,4.18,4.18,4.18
yes,yes,yes,no,no,11,Polanui,LLHS,,,,PPU,PPU161102,2025,Puamana,2016-11-02,09:52,,,,,,,,,,PPU161102,26.7,34.5,6.83,103,8.17,1.86,1.86,1.86
yes,yes,yes,no,no,11,Polanui,LLHS,,,,OLP,OLP161102,2072,Launiupoko,2016-11-02,10:17,,,,,,,,,,OLP161102,26.5,34.5,6.9,103.8,8.13,1.62,1.62,1.62
yes,yes,yes,no,no,11,Polanui,LLHS,,,,OSF,OSF161102,2027,Olowalu Pier,2016-11-02,10:46,,,,,,,,,,OSF161102,26.3,34.8,6.83,102.6,8.07,1.75,1.75,1.75
yes,yes,yes,no,no,12,Polanui,LLHS,,,,PFF,PFF161116,2022,505 Front St,2016-11-16,08:16,,,,,,,,,,PFF161116,26.1,33.7,6.2,92.1,8.05,7.39,7.39,7.39
yes,yes,yes,no,no,12,Polanui,LLHS,,,,PLH,PLH161116,2023,Lindsey Hale,2016-11-16,08:45,,,,,,,,,,PLH161116,26.4,34.1,5.53,82.9,7.98,14.03,14.03,14.03
yes,yes,yes,no,no,12,Polanui,LLHS,,,,PLT,PLT161116,2024,Lahaina Town,2016-11-16,09:06,,,,,,,,,,PLT161116,26.5,34.3,5.6,84,8.03,10.87,10.87,10.87
yes,yes,yes,no,no,12,Polanui,LLHS,,,,PPU,PPU161116,2025,Puamana,2016-11-16,09:30,,,,,,,,,,PPU161116,26.6,34.4,6.73,101.2,8.16,2.04,2.04,2.04
yes,yes,yes,no,no,12,Polanui,LLHS,,,,OLP,OLP161116,2072,Launiupoko,2016-11-16,09:52,,,,,,,,,,OLP161116,26.7,34.7,6.67,100.7,8.11,3.33,3.33,3.33
yes,yes,yes,no,no,12,Polanui,LLHS,,,,OSF,OSF161116,2027,Olowalu Pier,2016-11-16,10:15,,,,,,,,,,OSF161116,26.8,34.7,#N/A,106.9,8.11,4.37,4.37,4.37
yes,yes,yes,no,no,13,Polanui,LLHS,,,,PFF,PFF161130,2022,505 Front St,2016-11-30,08:24,,,,,,,,,,PFF161130,25,34,6.35,92.8,8.07,9.3,9.3,9.3
yes,yes,yes,no,no,13,Polanui,LLHS,,,,PLH,PLH161130,2023,Lindsey Hale,2016-11-30,08:51,,,,,,,,,,PLH161130,25,33.9,6.24,91.2,8.01,9.44,9.44,9.44
yes,yes,yes,no,no,13,Polanui,LLHS,,,,PLT,PLT161130,2024,Lahaina Town,2016-11-30,09:12,,,,,,,,,,PLT161130,25,34,6.2,90.5,7.95,12.5,12.5,12.5
yes,yes,yes,no,no,13,Polanui,LLHS,,,,PPU,PPU161130,2025,Puamana,2016-11-30,09:40,,,,,,,,,,PPU161130,25.4,33.9,6.84,100.6,8.1,2.02,2.02,2.02
yes,yes,yes,no,no,13,Polanui,LLHS,,,,OLP,OLP161130,2072,Launiupoko,2016-11-30,10:01,,,,,,,,,,OLP161130,24.5,34.5,7.13,103.6,8.04,1.51,1.51,1.51
yes,yes,yes,no,no,13,Polanui,LLHS,,,,OSF,OSF161130,2027,Olowalu Pier,2016-11-30,10:25,,,,,,,,,,OSF161130,24.7,34.8,7.37,108,8.13,2.42,2.42,2.42
yes,yes,yes,no,no,14,Polanui,LLHS,,,,PFF,PFF161214,2022,505 Front St,2016-12-14,08:16,,,,,,,,,,PFF161214,24.2,34.8,6.56,95.1,8.03,4.31,4.31,4.31
yes,yes,yes,no,no,14,Polanui,LLHS,,,,PLH,PLH161214,2023,Lindsey Hale,2016-12-14,08:45,,,,,,,,,,PLH161214,23.7,33.1,6.65,94.7,7.96,14.27,14.27,14.27
yes,yes,yes,no,no,14,Polanui,LLHS,,,,PLT,PLT161214,2024,Lahaina Town,2016-12-14,09:18,,,,,,,,,,PLT161214,24,33.8,5.93,85.3,7.94,7.5,7.5,7.5
yes,yes,yes,no,no,14,Polanui,LLHS,,,,PPU,PPU161214,2025,Puamana,2016-12-14,09:35,,,,,,,,,,PPU161214,24.9,34.4,6.95,101.8,8.08,2.72,2.72,2.72
yes,yes,yes,no,no,14,Polanui,LLHS,,,,OLP,OLP161214,2072,Launiupoko,2016-12-14,09:54,,,,,,,,,,OLP161214,24.9,34.6,7.02,103,8.13,1.99,1.99,1.99
yes,yes,yes,no,no,14,Polanui,LLHS,,,,OSF,OSF161214,2027,Olowalu Pier,2016-12-14,10:16,,,,,,,,,,OSF161214,24.7,34.8,6.68,97.7,8.08,4.1,4.1,4.1
